9/10,Ps 199 Jessie Isador Straus,"270 West 70th Street, New York, NY, 10023","Public district, K-5",851
9/10,Ps 213 The Carl Ullman School,"231-02 67th Avenue, Queens, NY, 11364","Public district, PK-5",466
9/10,Ps 214 Cadwallader Colden,"31-15 140th Street, Queens, NY, 11354","Public district, PK-5",537
9/10,Ps 229 Dyker,"1400 Benson Avenue, Brooklyn, NY, 11228","Public district, PK-8","1,249"
9/10,Jhs 234 Arthur W Cunningham,"1875 East 17th Street, Brooklyn, NY, 11229","Public district, 6-8","1,909"
9/10,Ps 235 Lenox School,"525 Lenox Road, Brooklyn, NY, 11203","Public district, PK-8","1,253"
9/10,Ps 236 Mill Basin,"6302 Avenue U, Brooklyn, NY, 11234","Public district, PK-5",552
9/10,Mark Twain is 239 for the Gifted and Talented,"2401 Neptune Avenue, Brooklyn, NY, 11224","Public district, 6-8","1,323"
9/10,Ps 247,"7000 21st Avenue, Brooklyn, NY, 11204","Public district, K-5",873
9/10,Ps 249 The Caton,"18 Marlborough Road, Brooklyn, NY, 11226","Public district, PK-5",873
9/10,Jhs 259 William Mckinley,"7301 Fort Hamilton Parkway, Brooklyn, NY, 11228","Public district, 6-8","1,858"
9/10,Ps 277 Gerritsen Beach,"2529 Gerritsen Avenue, Brooklyn, NY, 11229","Public district, PK-5",418
9/10,"New Explorations Into Science, Tech and Math High School","111 Columbia Street, New York, NY, 10002","Public district, K-12","1,729"
9/10,Is 5 The Walter Crowley Intermediate School,"50-40 Jacobus Street, Queens, NY, 11373","Public district, 6-8","1,796"
9/10,P.S. 78,"48-9 Center Boulevard, Queens, NY, 11109","Public district, PK-8",704
9/10,Is 289,"201 Warren Street, New York, NY, 10282","Public district, 6-8",283
9/10,"Fiorello H Laguardia High School of Music, Art and Performing Arts","100 Amsterdam Avenue, New York, NY, 10023","Public district, 9-12","2,819"
9/10,The Mott Hall School,"71 Convent Avenue, New York, NY, 10027","Public district, 6-8",292
9/10,Is 75 Frank D Paulo,"455 Huguenot Avenue, Staten Island, NY, 10312","Public district, 6-8","1,368"
9/10,P.S. 130,"200-01 42nd Avenue, Queens, NY, 11361","Public district, PK-4",396
9/10,Errick Road Elementary School,"6839 Errick Road, North Tonawanda, NY, 14120","Public district, K-5",502
9/10,Bellerose Elementary School,"253 Bellerose Avenue, East Northport, NY, 11731","Public district, K-5",301
9/10,Norwood Avenue School,"25 Norwood Road, Fort Salonga, NY, 11768","Public district, K-5",324
9/10,Orchard Park High School,"4040 Baker Road, Orchard Park, NY, 14127","Public district, 9-12","1,518"
9/10,Lincoln Avenue School,"115 Lincoln Avenue, Pearl River, NY, 10965","Public district, K-4",210
9/10,Colonial School,"315 Highbrook Avenue, Village of Pelham, NY, 10803","Public district, K-5",323
9/10,Siwanoy School,"489 Siwanoy Place, Pelham Manor, NY, 10803","Public district, K-5",284
9/10,Penfield Senior High School,"25 High School Drive, Penfield, NY, 14526","Public district, 9-12","1,435"
9/10,Scribner Road Elementary School,"1750 Scribner Road, Penfield, NY, 14526","Public district, K-5",540
9/10,Jefferson Road School,"15 School Lane, Pittsford, NY, 14534","Public district, K-5",365
9/10,Park Road School,"50 Park Road, Pittsford, NY, 14534","Public district, K-5",430
9/10,Pittsford Sutherland High School,"55 Sutherland Street, Pittsford, NY, 14534","Public district, 9-12",955
9/10,Thornell Road School,"431 Thornell Road, Pittsford, NY, 14534","Public district, K-5",390
9/10,Barker Road Middle School,"75 Barker Road, Pittsford, NY, 14534","Public district, 6-8",715
9/10,Stratford Road School,"33 Bedford Road, Plainview, NY, 11803","Public district, K-4",515
9/10,H B Mattlin Middle School,"100 Washington Avenue, Plainview, NY, 11803","Public district, 5-8",742
9/10,Old Bethpage School,"1191 Round Swamp Road, Old Bethpage, NY, 11804","Public district, K-4",390
9/10,Plainview Old Bethpage Jfk High School,"50 Kennedy Drive, Plainview, NY, 11803","Public district, 9-12","1,600"
9/10,Pleasantville High School,"60 Romer Avenue, Pleasantville, NY, 10570","Public district, 9-12",592
9/10,Bruno M Ponterio Ridge Street School,"390 North Ridge Street, Rye Brook, NY, 10573","Public district, K-5",605
9/10,Hewitt School,"446 Hempstead Avenue, Rockville Centre, NY, 11570","Public district, K-5",454
9/10,Watson School,"277 North Centre Avenue, Rockville Centre, NY, 11570","Public district, K-5",288
9/10,William S Covert School,"379 Willow Street, South Hempstead, NY, 11550","Public district, K-5",294
9/10,East Hills Elementary School,"315 Locust Lane, Roslyn Heights, NY, 11577","Public district, 2-5",512
9/10,Roslyn High School,"475 Round Hill Road, Roslyn Heights, NY, 11577","Public district, 8-12","1,038"
9/10,Milton School,"12 Hewlett Street, Rye, NY, 10580","Public district, K-5",397
9/10,Rye High School,"Parsons St, Rye, NY, 10580","Public district, 9-12","1,002"
9/10,Rye Middle School,"Parsons St, Rye, NY, 10580","Public district, 6-8",819
9/10,Quaker Ridge School,"125 Weaver St, Scarsdale, NY, 10583","Public district, K-5",471
9/10,Scarsdale Middle School,"134 Mamaroneck Road, Scarsdale, NY, 10583","Public district, 6-8","1,148"
9/10,North Shore Senior High School,"450 Glen Cove Avenue, Glen Head, NY, 11545","Public district, 9-12",881
9/10,Acadia Middle School,"970 New York 146, Clifton Park, NY, 12065","Public district, 6-8",787
