,school,rating,type,students,grades,city,zip
2485,Mount Eden Children's Academy,5,Public district,424, PK-5, Bronx, 10452
2486,Bronx Park Middle School,5,Public district,401, 6-8, Bronx, 10467
2487,Pelham Gardens Middle School,5,Public district,452, 6-8, Bronx, 10469
2488,Unity Prep Charter School of Brooklyn,5,Public charter,471, 6-10, Brooklyn, 11221
2489,Brooklyn Urban Garden Charter School,5,Public charter,300, 6-8, Brooklyn, 11215
2490,Fresh Creek School (The),5,Public district,214, PK-5, Brooklyn, 11207
2491,Wave Preparatory Elementary School,5,Public district,557, PK-5, Queens, 11691
2492,Utica Academy of Science Charter School,5,Public charter,540, 6-12, Utica, 13502
2493,Presidential Park Elementary School,5,Public district,"1,490", K-5, Middletown, 10940
2494,Corona Arts And Sciences Academy,5,Public district,726, 6-8, Queens, 11368
2495,Riverdale Avenue Middle School,5,Public district,129, 6-8, Brooklyn, 11212
2496,Brooklyn Environmental Exploration,5,Public district,92, 6-8, Brooklyn, 11233
2497,Lucero Elementary School,5,Public district,411, K-5, Bronx, 10452
2498,Queens High For Language Studies,5,Public district,428, 9-12, Queens, 11354
2499,Manhattan Early College School For Advertising,5,Public district,368, 9-12, New York, 10038
2500,BROOKLYN LABORATORY CHARTER SCHOOL,5,Public charter,637, 6-9, Brooklyn, 11201
2501,CORNING-PAINTED POST MIDDLE SCHOOL,5,Public district,973, 6-8, Painted Post, 14870
2502,Syracuse Latin School,5,Public district,293, K-4, Syracuse, 13210
2503,James A Green High School,5,Public district,279, 9-12, Dolgeville, 13329
2504,Edwards Knox Junior Senior High School,5,Public district,248, 7-12, Hermon, 13652
2505,Mohonasen Senior High School,5,Public district,893, 9-12, Schenectady, 12303
2506,Broadalbin Perth Intermediate School,5,Public district,397, 3-5, Amsterdam, 12010
2507,Jasper Troupsburg Junior Senior High School,5,Public district,225, 7-12, Jasper, 14855
2508,Saranac Elementary School,5,Public district,371, K-5, Saranac, 12981
2509,Saranac Middle School,5,Public district,304, 6-8, Saranac, 12981
2510,Cobleskill Richmondville High School,5,Public district,565, 7, Richmondville, 12149
2511,Wayland Cohocton Middle School,5,Public district,382, 5-8, Wayland, 14572
2512,Durhamville School,5,Public district,252, K-5, Durhamville, 13054
2513,North Broad Street School,5,Public district,254, K-5, Oneida, 13421
2514,Oneida Senior High School,5,Public district,610, 9-12, Oneida, 13421
2515,Waterloo High School,5,Public district,483, 9-12, Waterloo, 13165
2516,La Fayette School,5,Public district,362, 3-5, Waterloo, 13165
2517,Waterloo Middle School,5,Public district,360, 6-8, Waterloo, 13165
2518,Allegany Limestone Elementary School,5,Public district,514, PK-5, Allegany, 14706
2519,Averill Park High School,5,Public district,"1,000", 9-12, Averill Park, 12018
2520,Unadilla Valley Central School,5,Public district,404, 5-12, New Berlin, 13411
2521,Addison High School,5,Public district,561, 6-12, Addison, 14801
2522,William S Hackett Middle School,5,Public district,676, 6-8, Albany, 12202
2523,Carl I Bergerson Middle School,5,Public district,411, 6-8, Albion, 14411
2524,Alden Intermediate School,5,Public district,342, 3-5, Alden, 14004
2525,Alden Middle School,5,Public district,383, 6-8, Alden, 14004
2526,Floyd Bell Elementary School,5,Public district,295, PK-5, Kirkwood, 13795
2527,Andes Central School,5,Public district,83, PK-12, Andes, 13731
2528,Attica Junior High School,5,Public district,385, 5-8, Attica, 14011
2529,Auburn High School,5,Public district,"1,206", 9-12, Auburn, 13021
2530,Owasco Elementary School,5,Public district,457, K-6, Auburn, 13021
2531,William H Seward Elementary School,5,Public district,497, K-6, Auburn, 13021
2532,Avoca Central School,5,Public district,428, K-12, Avoca, 14809
2533,Catherine M Mcnamara Elementary School,5,Public district,551, K-5, Baldwinsville, 13027
2534,L Pearl Palmer Elementary School,5,Public district,468, K-5, Baldwinsville, 13027
2535,Theodore R Durgee Junior High School,5,Public district,864, 8-9, Baldwinsville, 13027
2536,Batavia High School,5,Public district,640, 9-12, Batavia, 14020
2537,Batavia Middle School,5,Public district,704, 5-8, Batavia, 14020
2538,Haverling Senior High School,5,Public district,449, 9-12, Bath, 14810
2539,Bay Shore Middle School,5,Public district,"1,382", 6-8, Bay Shore, 11706
2540,Academy Street Elementary School,5,Public district,327, K-5, Bayport, 11705
2541,Blue Point Elementary School,5,Public district,225, K-5, Blue Point, 11715
2542,Sylvan Avenue Elementary School,5,Public district,322, K-5, Bayport, 11705
2543,Beacon High School,5,Public district,891, 9-12, Beacon, 12508
2544,Rombout Middle School,5,Public district,659, 6-8, Beacon, 12508
2545,Cumberland Head Elementary School,5,Public district,525, PK-5, Plattsburgh, 12901
2546,Winthrop Avenue School,5,Public district,291, 3-4, Bellmore, 11710
2547,Gilbertsville Mount Upton Elementary School,5,Public district,177, PK-6, Gilbertsville, 13776
2548,Adirondack High School,5,Public district,401, 9-12, Boonville, 13309
