,school,rating,type,students,grades,city,zip
3728,Brooklyn Institute for Liberal Arts,3,Public district,375, 9-12, Brooklyn, 11203
3729,Explore Exceed Charter School,3,Public charter,507, K-8, Brooklyn, 11238
3730,Spring Creek Community School,3,Public district,482, 6-11, Brooklyn, 11239
3731,Brownsville Collaborative Middle School,3,Public district,106, 6-8, Brooklyn, 11212
3732,Christopher Avenue Community School,3,Public district,299, PK-5, Brooklyn, 11212
3733,Riverdale Avenue Community School,3,Public district,349, PK-5, Brooklyn, 11212
3734,P.S. 354,3,Public district,619, PK-5, Queens, 11434
3735,Altmar-Parish-Williamstown Elementary School,3,Public district,641, PK-6, Parish, 13131
3736,Veritas Academy,3,Public district,552, 9-12, Queens, 11354
3737,Queens United Middle School,3,Public district,206, 6-8, Queens, 11413
3738,Liberty Avenue Middle School,3,Public district,462, 6-8, Brooklyn, 11208
3739,Bronx Academy For Software Engineering,3,Public district,429, 9-12, Bronx, 10458
3740,Dos Puentes Elementary School,3,Public district,350, K-4, New York, 10033
3741,Harbor View School (The),3,Public district,265, PK-4, Staten Island, 10301
3742,Origins High School,3,Public district,427, 9-12, Brooklyn, 11235
3743,Sunset Park Avenue Elementary School,3,Public district,429, PK-4, Brooklyn, 11232
3744,Urban Assembly-Emergency Management,3,Public district,279, 9-12, New York, 10038
3745,Voyages Prep-South Queens,3,Public district,291, 9, Queens, 11434
3746,World View High School,3,Public district,498, 9-12, Bronx, 10468
3747,Urban Assembly Maker Academy,3,Public district,389, 9-12, New York, 10038
3748,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES,3,Public district,371, 9-12, New York, 10034
3749,HIGHLAND PARK COMMUNITY SCHOOL,3,Public district,329, 6-8, Brooklyn, 11208
3750,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,3,Public district,519, 9-12, Queens, 11427
3751,BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE AND INFORMATION TECHNOLOGY,3,Public district,397, 9-12, Queens, 11411
3752,School In The Square Public Charter School,3,Public charter,204, 6-7, New York, 10033
3753,Pinewood Elementary School,3,Public district,635, 3-5, Schenectady, 12303
3754,Brookhaven Elementary School,3,Public district,546, PK-3, Brookhaven, 11719
3755,Morrisonville Elementary School,3,Public district,323, K-5, Morrisonville, 12962
3756,Joseph B Radez Elementary School,3,Public district,378, 3-5, Richmondville, 12149
3757,Bolivar Richburg Elementary School,3,Public district,336, PK-5, Bolivar, 14715
3758,W F Prior Elementary School,3,Public district,218, PK-5, Oneida, 13421
3759,Unadilla Valley Elementary School,3,Public district,396, PK-5, New Berlin, 13411
3760,Mannsville Manor Elementary School,3,Public district,360, PK-5, Mannsville, 13661
3761,Tuscarora Elementary School,3,Public district,469, K-5, Addison, 14801
3762,Afton Junior Senior High School,3,Public district,237, 7-12, Afton, 13730
3763,Albany High School,3,Public district,"2,624", 9-12, Albany, 12203
3764,Amityville Memorial High School,3,Public district,751, 9-12, Amityville, 11701
3765,Northwest Elementary School,3,Public district,651, 1-3, Amityville, 11701
3766,Wilbur H Lynch Literacy Academy,3,Public district,818, 6-8, Amsterdam, 12010
3767,Marie Curie Institute Of Engineering And Communica,3,Public district,466, PK-5, Amsterdam, 12010
3768,William B Tecler Arts In Education,3,Public district,491, PK-5, Hagaman, 12086
3769,William H Barkley Microsociety,3,Public district,322, PK-5, Amsterdam, 12010
3770,Genesee Street Elementary School,3,Public district,384, K-6, Auburn, 13021
3771,Herman Avenue Elementary School,3,Public district,493, K-6, Auburn, 13021
3772,Gardiner Manor School,3,Public district,739, 3-5, Bay Shore, 11706
3773,Beekmantown Elementary School,3,Public district,455, PK-5, Plattsburgh, 12901
3774,Horace Mann School,3,Public district,319, K-5, Binghamton, 13905
3775,West Middle School,3,Public district,600, PK, Binghamton, 13905
3776,Hemlock Elementary School,3,Public district,727, PK-5, Bay Shore, 11706
3777,Laurel Park Elementary School,3,Public district,666, 1-5, Brentwood, 11717
3778,North Middle School,3,Public district,"1,151", 6-8, Brentwood, 11717
3779,Brushton Grade School,3,Public district,443, PK-6, Brushton, 12916
3780,Mckinley Vocational High School,3,Public district,"1,063", 9-12, Buffalo, 14207
3781,Ps 27 Hillery Park Academy,3,Public district,645, PK-8, Buffalo, 14210
3782,Bilingual Center,3,Public district,495, PK-8, Buffalo, 14210
3783,International School,3,Public district,"1,137", PK-8, Buffalo, 14213
3784,Ps 65 Roosevelt Academy,3,Public district,383, PK-4, Buffalo, 14207
3785,Ps 69 Houghton Academy,3,Public district,515, PK-8, Buffalo, 14206
3786,Lorraine Elementary School,3,Public district,791, PK-8, Buffalo, 14220
3787,Highgate Heights,3,Public district,411, PK-8, Buffalo, 14215
3788,Stanley Makowski Early Childhood Center,3,Public district,798, PK-4, Buffalo, 14208
3789,Southside Elementary School,3,Public district,"1,094", PK-8, Buffalo, 14210
3790,East Hill School,3,Public district,431, PK-5, Canajoharie, 13317
3791,West Carthage Elementary School,3,Public district,389, K-4, Carthage, 13619
3792,Catskill Middle School,3,Public district,354, 6-8, Catskill, 12414
3793,Charlotte Valley School,3,Public district,392, PK-12, Davenport Center, 13751
3794,Chateaugay Elementary School,3,Public district,317, PK-6, Chateaugay, 12920
3795,Cohoes High School,3,Public district,543, 9-12, Cohoes, 12047
3796,Sycamore Avenue Elementary School,3,Public district,427, K-5, Bohemia, 11716
3797,Alton B Parker School,3,Public district,230, K-6, Cortland, 13045
3798,Franklyn S Barry School,3,Public district,360, K-6, Cortland, 13045
3799,Edward J Arthur Elementary School,3,Public district,203, K-4, Athens, 12015
3800,Dover Elementary School,3,Public district,320, 3-5, Dover Plains, 12522
3801,Dryden Middle School,3,Public district,349, 6-8, Dryden, 13053
3802,Dundee Elementary School,3,Public district,373, PK-6, Dundee, 14837
3803,Dundee Junior Senior High School,3,Public district,296, 7-12, Dundee, 14837
3804,Dunkirk Middle School,3,Public district,471, 4-8, Dunkirk, 14048
3805,Dunkirk Senior High School,3,Public district,588, 9-12, Dunkirk, 14048
3806,School 3,3,Public district,251, K-5, Dunkirk, 14048
3807,East Syracuse Elementary School,3,Public district,314, K-5, East Syracuse, 13057
3808,Minoa Elementary School,3,Public district,391, K-5, Minoa, 13116
3809,George Ross Mackenzie Elementary School,3,Public district,299, PK-6, Glen Spey, 12737
3810,Broadway Elementary School,3,Public district,442, 3-6, Elmira, 14904
3811,Hendy Avenue School,3,Public district,472, 3-6, Elmira, 14905
3812,Parley Coburn School,3,Public district,502, 3-6, Elmira, 14904
3813,Geneva Middle School,2,Public district,473, 6-8, Geneva, 14456
3814,North Street Elementary School,2,Public district,478, PK, Geneva, 14456
3815,Kingsborough School,2,Public district,324, PK-2, Gloversville, 12078
3816,Park Terrace School,2,Public district,341, PK-2, Gloversville, 12078
3817,Gowanda Elementary School,2,Public district,425, K-4, Gowanda, 14070
3818,Martin Luther King Jr High School,2,Public district,87, 8-12, Hastings-on-Hudson, 10706
3819,Greenport Elementary School,2,Public district,316, PK-6, Greenport, 11944
3820,W A Olmsted Elementary School,2,Public district,375, PK-6, Harpursville, 13787
3821,Harrisville Elementary School,2,Public district,202, PK-7, Harrisville, 13648
3822,West Haverstraw Elementary School,2,Public district,751, K-3, West Haverstraw, 10993
3823,Hempstead High School,2,Public district,"2,567", 9-12, Hempstead, 11550
3824,Alverta B Gray Schultz Middle School,2,Public district,"1,437", 6-8, Hempstead, 11550
3825,Jackson Annex School,2,Public district,496, 1-5, Hempstead, 11550
3826,Bryant School,2,Public district,233, 2-3, Hornell, 14843
3827,North Park Elementary School,2,Public district,478, K-5, Hyde Park, 12538
3828,Ralph R Smith School,2,Public district,372, K-5, Hyde Park, 12538
3829,Ben Franklin Elementary School,2,Public district,511, K-4, Buffalo, 14223
3830,Chambers School,2,Public district,377, K-4, Kingston, 12401
3831,John F. Kennedy,2,Public district,356, PK-4, Kingston, 12401
3832,Lackawanna High School,2,Public district,581, 9-12, Lackawanna, 14218
3833,Lake Placid Elementary School,2,Public district,286, K-5, Lake Placid, 12946
3834,Rensselaer Park Elementary School,2,Public district,535, 3-5, Troy, 12182
3835,Anna Merritt Elementary School,2,Public district,330, K-4, Lockport, 14094
3836,Lyons Elementary School,2,Public district,538, PK-6, Lyons, 14489
3837,Davis Elementary School,2,Public district,561, PK-5, Malone, 12953
3838,Flanders Elementary School,2,Public district,254, PK-5, Malone, 12953
3839,Oak Orchard School,2,Public district,458, PK-3, Medina, 14103
3840,Eugene Auer Memorial School,2,Public district,286, 1-5, Lake Grove, 11755
3841,Kenneth L Rutherford School,2,Public district,449, K-5, Monticello, 12701
3842,Mount Vernon High School,2,Public district,"1,451", 8-12, Mount Vernon, 10552
3843,Edward Williams School,2,Public district,436, PK-6, Mount Vernon, 10553
3844,Landmark High School,2,Public district,349, 9-12, New York, 10011
3845,Wadleigh Secondary School for the Performing and Visual Arts,2,Public district,273, 6-12, New York, 10026
3846,Leadership And Public Service High School,2,Public district,694, 9-12, New York, 10006
3847,Ps 6,2,Public district,664, K-5, Brooklyn, 11226
3848,EBC High School for Public Service-Bushwick,2,Public district,488, 9-12, Brooklyn, 11221
3849,Gregorio Luperon High School for Science and Mathematics,2,Public district,501, 9-12, New York, 10032
3850,Jacqueline Kennedy-Onassis High School,2,Public district,564, 9-12, New York, 10036
3851,Fannie Lou Hamer Freedom High School,2,Public district,458, 9-12, Bronx, 10460
3852,Wings Academy,2,Public district,493, 9-12, Bronx, 10460
3853,Brooklyn International High School At Waters Edge,2,Public district,354, 9-12, Brooklyn, 11201
3854,Humanities And Arts Magnet High School,2,Public district,456, 9-12, Queens, 11411
3855,Ps 4 Duke Ellington,2,Public district,560, PK-5, New York, 10032
3856,Alfred E Smith Career and Technical High School,2,Public district,461, 9-12, Bronx, 10451
3857,August Martin High School,2,Public district,328, 9-12, Queens, 11434
3858,Automotive High School,2,Public district,404, 9-12, Brooklyn, 11222
3859,Boys and Girls High School,2,Public district,412, 9-12, Brooklyn, 11213
3860,Dewitt Clinton High School,2,Public district,"1,228", 9-12, Bronx, 10468
3861,Transit Tech Career and Technical Education High School,2,Public district,705, 9-12, Brooklyn, 11208
3862,Flushing High School,2,Public district,"1,678", 9-12, Queens, 11354
3863,Grover Cleveland H.S.,2,Public district,"1,751", 9-12, Queens, 11385
3864,Jhs 151 Lou Gehrig,2,Public district,254, 6-8, Bronx, 10451
3865,Long Island City High School,2,Public district,"2,257", 9-12, Queens, 11106
3866,Martin Van Buren High School,2,Public district,"1,175", 9-12, Queens, 11427
3867,Murry Bergtraum High School For Business Careers,2,Public district,264, 9-12, New York, 10038
3868,Ps 11 Highbridge,2,Public district,595, K-5, Bronx, 10452
3869,Ps 38 Roberto Clemente,2,Public district,217, PK-5, New York, 10029
3870,Ps 16 John J Driscoll,2,Public district,525, PK-5, Staten Island, 10301
3871,Ps 16 Leonard Dunkly,2,Public district,226, PK-5, Brooklyn, 11211
3872,Ps 18 John Peter Zenger,2,Public district,598, PK-5, Bronx, 10451
3873,Ps 21 Philip H Sheridan,2,Public district,701, K-5, Bronx, 10466
3874,Ps 375 Jackie Robinson School,2,Public district,390, PK-5, Brooklyn, 11225
3875,Ps 23 Carter G Woodson,2,Public district,290, PK-5, Brooklyn, 11206
3876,Ps Ms 29 Melrose School,2,Public district,788, PK-8, Bronx, 10451
3877,Ps Ms 31 The William Lloyd Garrison,2,Public district,698, PK-8, Bronx, 10451
3878,Ps 32 Belmont,2,Public district,827, PK-5, Bronx, 10458
3879,Ps 35 Franz Siegel,2,Public district,665, K-5, Bronx, 10451
3880,Thomas C Giordano Middleschool 45,2,Public district,700, 6-8, Bronx, 10458
3881,Ps 46 Edgar Allen Poe,2,Public district,911, K-5, Bronx, 10458
3882,Ps 47 John Randolph,2,Public district,"1,072", K-5, Bronx, 10472
3883,Ps 48 Joseph R Drake,2,Public district,696, PK-5, Bronx, 10474
3884,Ps 54 Samuel C Barnes,2,Public district,208, PK-5, Brooklyn, 11205
3885,Ps 55 Benjamin Franklin,2,Public district,637, PK-5, Bronx, 10456
3886,Ps 57 Crescent,2,Public district,510, PK-5, Bronx, 10457
3887,Ps 58,2,Public district,474, PK-5, Bronx, 10457
3888,Ps 75 Mayda Cortiella,2,Public district,363, PK-5, Brooklyn, 11221
3889,Ps 76 A Phillip Randolph,2,Public district,454, PK-8, New York, 10027
3890,Ps 81 Thaddeus Stevens,2,Public district,293, PK-5, Brooklyn, 11221
3891,Ps 94 Kings College School,2,Public district,"1,263", K-5, Bronx, 10467
3892,Ps 98 Shorac Kappock,2,Public district,461, PK-5, New York, 10034
3893,Ps 100 Isaac Clason,2,Public district,576, PK-5, Bronx, 10473
3894,Ps 105 The Bay School,2,Public district,803, PK-8, Queens, 11691
3895,Ps 106 Edward Everett Hale,2,Public district,427, PK-5, Brooklyn, 11221
3896,Ps 108 Assemblyman Angelo Del Toro Educational Com,2,Public district,448, PK-8, New York, 10029
3897,Ps 112 Bronxwood,2,Public district,430, PK-5, Bronx, 10466
3898,Ps 129 John H Finley,2,Public district,439, PK-8, New York, 10027
3899,Ps 132 Juan Pablo Duarte,2,Public district,303, K-5, New York, 10033
3900,Ps 133 Fred R Moore,2,Public district,212, PK-5, New York, 10037
3901,Ps 134 George F Bristow,2,Public district,649, PK-5, Bronx, 10459
3902,Ps 140 The Eagle School,2,Public district,635, PK-5, Bronx, 10456
3903,Ps 43,2,Public district,894, PK-8, Queens, 11691
3904,Bronx International High School,2,Public district,401, 9-12, Bronx, 10456
3905,Ps 151 Mary D Carter,2,Public district,383, PK-5, Queens, 11377
3906,Ps 157 Benjamin Franklin,2,Public district,481, PK-8, Brooklyn, 11205
3907,Ps 163 Arthur A Schomberg,2,Public district,476, PK-5, Bronx, 10457
3908,Ps 165 Ida Posner,2,Public district,220, PK-5, Brooklyn, 11212
3909,Ps 171 Peter G Van Alst,2,Public district,498, PK-5, Queens, 11102
3910,Ps 197 John B Russwurm,2,Public district,307, PK-5, New York, 10037
3911,Ps 200 The James Mccune Smith School,2,Public district,390, PK-5, New York, 10036
3912,Ps 205 Fiorello Laguardia,2,Public district,"1,010", K-5, Bronx, 10458
3913,Ps 208 Alain L Locke,2,Public district,127, 3-5, New York, 10026
3914,Ps 224 Hale A Woodruff,2,Public district,415, PK-5, Brooklyn, 11208
3915,P.S. 243 the Weeksville School,2,Public district,229, PK-5, Brooklyn, 11213
3916,Ps 262 El Hajj Malik El Shabazz Elementary School,2,Public district,183, PK-5, Brooklyn, 11233
3917,Dr Susan S Mckinney Secondary School Of The Arts,2,Public district,370, 6-12, New York, 10017
3918,Jhs 291 Roland Hayes,2,Public district,290, 6-8, Brooklyn, 11221
3919,Ps 298 Dr Betty Shabazz,2,Public district,266, PK-5, Brooklyn, 11212
3920,Ps 299 Thomas Warren Field School,2,Public district,270, PK-5, Brooklyn, 11221
3921,Ps 329 Surfside,2,Public district,420, PK-5, Brooklyn, 11224
3922,Ps 377 Alejandina B De Gautier,2,Public district,315, PK-8, Brooklyn, 11221
3923,Port Richmond High School,2,Public district,"1,541", 9-12, Staten Island, 10302
3924,William E Grady Career And Technical Education High School,2,Public district,460, 9-12, Brooklyn, 11235
3925,W H Maxwell Career and Technical Education High School,2,Public district,408, 9-12, Brooklyn, 11207
3926,The Heritage School,2,Public district,297, 9-12, New York, 10029
3927,Progress High School for Professional Careers,2,Public district,759, 9-12, Brooklyn, 11211
3928,School For Legal Studies,2,Public district,327, 9-12, Brooklyn, 11211
3929,High School Of Enterprise Business And Technology,2,Public district,873, 9-12, Brooklyn, 11211
3930,Ps 195,2,Public district,962, PK-5, Bronx, 10472
3931,Ps 196,2,Public district,935, PK-5, Bronx, 10472
3932,Ps 246 Poe Center,2,Public district,730, K-5, Bronx, 10468
3933,Ms 113 Ronald Edmonds Learning Center,2,Public district,305, 6-8, Brooklyn, 11205
3934,Norman R Kelley Intermediate School,2,Public district,497, 3-5, Newark, 14513
3935,Gams High Tech Magnet School,2,Public district,819, PK-5, Newburgh, 12550
3936,Horizon On The Hudson Magnet School,2,Public district,511, PK-5, Newburgh, 12550
3937,Vails Gate High Tech Magnet School,2,Public district,567, K-5, New Windsor, 12553
3938,Henry J Kalfas Magnet School,2,Public district,408, PK-6, Niagara Falls, 14305
3939,Colonial Village Elementary School,2,Public district,395, K-5, Niagara Falls, 14305
